date,peak_pos,last_pos,weeks,rank,change,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
3/10/2018,62,64,19,74,-10,0.711,0.247,120.013,0.061,0.496,0,4,0.846,0,197840,-7.939,0.883,1
3/10/2018,49,67,20,72,-5,0.722,0.0861,134.058,0.034,0.119,0,4,0.555,11,216960,-6.005,0.559,1
3/3/2018,71,71,2,83,-12,0.478,0.101,130.018,0.193,0.00759,0,4,0.855,1,221827,-9.116,0.284,1
3/3/2018,69,0,6,99,,0.477,0.111,85.019,0.0331,0.186,4.86E-05,5,0.567,8,195317,-8.781,0.321,0
3/3/2018,76,76,3,92,-16,0.787,0.157,113,0.0331,0.0167,0,4,0.541,2,245453,-4.618,0.2,0
3/3/2018,3,42,24,47,-5,0.523,0.117,119.889,0.0597,0.239,0,4,0.936,5,124056,-6.71,0.699,1
3/3/2018,68,68,12,87,-19,0.728,0.0909,112.029,0.032,0.0558,0,4,0.575,4,243427,-5.846,0.242,1
3/3/2018,65,87,8,98,-11,0.826,0.792,100.018,0.0357,0.00773,1.56E-06,4,0.581,0,261372,-4.87,0.492,1
3/3/2018,1,24,59,24,0,0.652,0.0931,95.977,0.0802,0.581,0,4,0.825,1,233713,-3.183,0.931,0
3/3/2018,4,39,24,45,-6,0.373,0.177,91.5,0.0505,0.615,0,4,0.661,5,201000,-8.249,0.523,1
2/24/2018,91,0,1,91,,0.633,0.0926,96.924,0.0597,0.0605,0.000194,4,0.698,8,232187,-4.946,0.552,1
2/24/2018,95,95,3,98,-3,0.779,0.0718,159.992,0.112,0.0126,0.912,4,0.74,2,231375,-7.824,0.412,0
2/24/2018,9,34,6,90,-56,0.579,0.246,97.002,0.138,0.0354,0.0118,4,0.745,1,293947,-5.771,0.645,1
2/24/2018,70,85,7,100,-15,0.177,0.124,118.004,0.0593,0.994,0.951,4,0.698,10,246698,-14.848,0.282,1
2/17/2018,98,0,1,98,,0.777,0.0665,104.989,0.0329,0.0178,1.27E-06,4,0.74,5,217840,-4.405,0.834,1
2/17/2018,7,55,3,83,-28,0.839,0.308,74.886,0.443,0.00531,0,4,0.654,9,255867,-5.076,0.549,0
2/17/2018,46,70,20,66,4,0.568,0.0841,76.025,0.0297,0.196,0,4,0.582,1,207187,-6.051,0.64,1
